shortCode,longUrl,title,tags
113poster,https://www.canva.com/design/DAGA9Cb2NjE/iQAIWPsZJjiIh2d7wahUUQ/edit?utm_content=DAGA9Cb2NjE&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,sutw
com,https://bridgerhung.notion.site/b88adfb0e74c48beba8c6cf3f4f7a1a6?pvs=4,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",溝通技巧
tw1,https://cloud.brid.pw/s/LwFp?path=%2F,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",sa
sa,https://drive.google.com/drive/folders/1X-gZQwfjXZJyKzMrOJMx7-DKI82sn8U1?usp=sharing,SA 2024 - Google Drive,sa
gn,https://mail.google.com/mail/u/0/?view=cm&fs=1&tf=1&source=mailto&to=me.8xt7eu5@goodnotes.email,Gmail,me
gd,https://mail.google.com/mail/u/0/?view=cm&fs=1&tf=1&source=mailto&to=me.8xt7eu5@goodnotes.email,Gmail,me
toeic,https://140.125.168.131/,Easy test線上學習測驗平台(授權國立雲林科技大學使用),sutw
adobe,https://acrobat.adobe.com/link/home/?x_api_client_id=adobe_com,Adobe Acrobat,me
cla,https://claude.ai/chats,Claude,me
colab,https://colab.research.google.com,Google Colab,java|me
tool,https://tool.browser.qq.com/,帮小忙，腾讯QQ浏览器在线工具箱平台,me
num,https://tw.piliapp.com/converter/chinese-numbers/?currency=TWD,數字轉國字大寫(新台幣),me|sutw
gra,https://www.grammarly.com/signin/,Login | Grammarly,sutw
pdf,https://www.pdfwind.com/zh-Hant,PDFWind | 免費在線處理PDF工具,me
mailme,https://mail.google.com/mail/u/0/?view=cm&fs=1&tf=1&source=mailto&to=B11123021@yuntech.edu.tw,Gmail,me
sutw,https://sites.google.com/view/joanneta/jojo,TA 專用 - Joanne,sutw
jojo,https://sites.google.com/view/joanneta/jojo,TA 專用 - Joanne,sutw
class,https://cloud.brid.pw/s/N6Ir/pdf?name=1122B11123021.pdf,,me
long,https://wiki.brid.pw/category/%E5%A4%A9%E9%95%B7%E5%9C%B0%E4%B9%85%E6%95%A3%E6%96%87%E9%9B%86,天長地久 | Bridger's Wiki,blog
epf,https://blog-nzr3xbbue-bridgerhung.vercel.app/chsc/intro,二階學習歷程 | Bridger's Wiki,help
brid,https://docs.google.com/spreadsheets/d/1g_7TfCeAr_j_zq8eS1X5i08SAj8IU1Cd-TiPeq6Awus/edit#gid=476019784,83898 洪名琮 - Google Drive,sutw|兼任助理
no,https://www.notion.so/login,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",me
e5,https://bridgerhmt-my.sharepoint.com/personal/bridger_brid_pw/_layouts/15/onedrive.aspx?&login_hint=bridger@brid.pw,Sign in to your account,me
hfs,https://sourceforge.net/projects/hfs/files/latest/download,Download HFS ~ HTTP File Server,help|me
task,https://calendar.google.com/calendar/u/0/r/tasks,Google Calendar - Sign in to Access & Edit Your Schedule,me
yunlin,https://taiwanhelper.com/railway/station/3470,【台鐵斗六車站】火車時刻表、平面圖、出口位置、地圖、電話、地址、車站代碼｜交通小幫手,train
toiec,https://140.125.168.131/,Easy test線上學習測驗平台(授權國立雲林科技大學使用),yunapp
co,https://copilot.microsoft.com/,Microsoft Copilot,me
cal,https://calendar.google.com/calendar/u/0/r,Google Calendar - Sign in to Access & Edit Your Schedule,me
emoji,https://tw.piliapp.com/emoji/list/,Emoji 列表 : 在iOS和Android原生繪文字符號,me
geek,https://www.geeksforgeeks.org/java-multiple-choice-questions/,Java Multiple Choice Questions - GeeksforGeeks,java
log,https://sites.google.com/view/joanneta//#h.flvclx9joamb,TA 專用,sutw
java,https://www.programiz.com/java-programming/online-compiler/,Online Java Compiler,java
icloud,https://beta.icloud.com/,iCloud,me
cht,https://my.cht.com.tw/,個人首頁 | 中華電信我的服務中心,me
find,https://www.google.com/android/find/,尋找我的裝置,me
news,https://news.pts.org.tw/,公視新聞網 PNN,me
line,https://desktop.line-scdn.net/win/new/LineInst.exe,,me
pay,https://agss1.yuntech.edu.tw/login_5203.aspx,國立雲林科技大學單一入口服務網 YunTech SSO  登入,sutw|yunapp
apa,"https://wordvice.com.tw/apa-citation-generator#:~:text=APA%E5%8F%83%E8%80%83%E6%96%87%E7%8D%BB%E6%A0%BC%E5%BC%8F%E7%94%A2%E7%94%9F%E5%99%A8%20%28%E5%85%8D%E8%B2%BB%29%20%E9%81%B8%E6%93%87%E4%B8%80%E7%A8%AE%E5%BC%95%E7%94%A8%E6%A0%BC%E5%BC%8F%EF%BC%8C%E8%BC%B8%E5%85%A5%E7%9B%B8%E9%97%9C%E8%A8%8A%E6%81%AF%EF%BC%8C%E9%BB%9E%E6%93%8A%20%22%E7%94%A2%E7%94%9F,%22%EF%BC%8C%E5%8D%B3%E5%8F%AF%E8%87%AA%E5%8B%95%E7%94%9F%E6%88%90%E7%AC%A6%E5%90%88%E7%9B%B8%E9%97%9C%E6%A8%99%E6%BA%96%E7%9A%84%E5%8F%83%E8%80%83%E6%96%87%E7%8D%BB%E6%A0%BC%E5%BC%8F%E3%80%82%20%E6%89%80%E6%9C%89%E7%94%9F%E6%88%90%E7%B5%90%E6%9E%9C%E5%B0%87%E9%9B%86%E4%B8%AD%E9%A1%AF%E7%A4%BA%E5%9C%A8%E7%B6%B2%E9%A0%81%E4%B8%AD%E9%96%93%E4%BD%8D%E7%BD%AE%22Reference%20List%22%E4%B8%AD%E3%80%82%20%E6%82%A8%E5%8F%AF%E7%9B%B4%E6%8E%A5%E8%A4%87%E8%A3%BD%E8%B2%BC%E4%B8%8A%E8%87%B3%E5%8F%83%E8%80%83%E6%96%87%E7%8D%BB%E9%A0%81%E4%BD%BF%E7%94%A8%EF%BC%8C%E4%B9%9F%E5%8F%AF%E9%9A%A8%E6%99%82%E5%BE%9E%E5%88%97%E8%A1%A8%E4%B8%AD%E5%88%AA%E9%99%A4%E4%B8%8D%E5%BF%85%E8%A6%81%E7%9A%84%E9%A0%85%E7%9B%AE%E3%80%82%20%E9%81%B8%E6%93%87%E4%B8%80%E7%A8%AE%E5%BC%95%E7%94%A8%E6%A0%BC%E5%BC%8F%EF%BC%8C%E8%BC%B8%E5%85%A5%E7%9B%B8%E9%97%9C%E8%A8%8A%E6%81%AF%E5%BE%8C%EF%BC%8C%E5%8D%B3%E5%8F%AF%E8%87%AA%E5%8B%95%E5%8F%83%E8%80%83%E6%96%87%E7%8D%BB%E6%A0%BC%E5%BC%8F%E3%80%82",Citation Generator | Wordvice,me
tas,https://liveyuntechedu-my.sharepoint.com/:x:/g/personal/b11123021_live_yuntech_edu_tw/EeyzaglcXahOuOvzpmT49fAB2ZBJ69y5ixJAzlh-neZcwg?e=UVPsDT,,sutw
money,https://sites.google.com/view/joanneta/#h.18zg1thi2h0a,TA 專用,sutw
gpt,https://chat.openai.com,chatGPT,me
gcp,https://console.cloud.google.com/,Google Cloud Platform,me
en,https://www.youdao.com/,网易有道,me
ide,https://www.onlinegdb.com/,"GDB online Debugger | Compiler - Code, Compile, Run, Debug online C, C++",java
ntu,https://reg.ntuh.gov.tw/WebAdministration/Query.aspx?HospCode=Y0,台大掛號系統,me|台大
w3c,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com,W3Schools,java
w3s,https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com,W3Schools,java
10_sheet,https://docs.google.com/spreadsheets/d/16wV-d_ns1c_oHS-ILdcY5qu5eHcEbYvQZR2EBJJ4m54/edit,10月保費試算 - Google 試算表,sutw
aws,https://awsacademy.instructure.com/login/canvas,Log In to Canvas,aws
tronclass_group,https://youtu.be/5c40jiDpbHE,Tronclass 分組_並派發作業.mp4 - Google 雲端硬碟,sutw
ta,https://webapp.yuntech.edu.tw/workstudy,國立雲林科技大學單一入口服務網 YunTech SSO  登入,sutw|yunapp
acc,https://acxweb1.yuntech.edu.tw/,會計請購系統,sutw
db,https://www.libdb.yuntech.edu.tw/,圖書館資料庫,yunapp
cc,https://creativecloud.adobe.com/cc?locale=zh-Hant,Adobe Creative Cloud | Sign in,me
img,https://imagestool.com/zh_TW/index.html,,me
help,https://github.com/rustdesk/rustdesk/releases/download/1.2.3/rustdesk-1.2.3-x86_64.exe,遠端協助,help
ms,https://o365oid-my.sharepoint.com/personal/bridgerhung_ms_edu_tw/_layouts/15/onedrive.aspx?&login_hint=bridgerhung@ms.edu.tw,,me
live,https://liveyuntechedu-my.sharepoint.com/personal/b11123021_live_yuntech_edu_tw/_layouts/15/onedrive.aspx?login_hint=B11123021%40live%2Eyuntech%2Eedu%2Etw&view=1,,yunapp
ge,https://mail.google.com/a/gemail.yuntech.edu.tw,,yunapp
moe,https://mail.edu.tw/cgi-bin/openid_login?OPENID_SERVER=moe,,me
go,https://mail.google.com/a/go.edu.tw,,me
leak,https://browserleaks.com/ip,,me
pm,https://mail.proton.me/,proton,me
ai,https://chat.openai.com/,chatGPT,me
pti,https://blog-bil3k39tb-bridgerhung.vercel.app/class/wen/AI_Tools/image,AI產生圖片及處理 | Bridger's Wiki,help
ec,https://eclass.yuntech.edu.tw/yuntech/sso-login,Tronclass,yunapp
chsc,https://mail.google.com/a/stu.chsc.tw,,me
gmail,https://mail.google.com/a/gemail.yuntech.edu.tw,,yunapp
kk,https://play.kkbox.com/,kkbox,me
fix,https://wiki.yunnet.eu.org/announcement/fix,,yunnet
docs,https://wiki.yunnet.eu.org/announcement/docs,,yunnet
house,https://house.nfu.edu.tw/YUNTECH/16701,房子,house
ynet,https://wiki.yunnet.eu.org/,,yunnet
git,https://codesandbox.io/dashboard/,codesandbox,me
train,https://www.railway.gov.tw/tra-tip-web/tip/tip001/tip112/gobytrainno,交通部臺灣鐵路管理局,me|train
file,https://fromsmash.com/,fromsmash,me
ads,https://wiki.brid.pw/ads/,廣告阻擋 | Bridger's Wiki,me
jpg,https://imagestool.com/zh_TW/,imagetools,me
ticket,https://taiwanhelper.com/railway/reserve-date,台鐵訂票時間是什麼時候？好用小工具幫你輕鬆計算提早訂票日期！！｜交通小幫手,me
tg,https://web.telegram.org/k/,Telegram,me
dc,https://discord.com/app,discord,me
air,https://airtw.moenv.gov.tw/cht/default.aspx#th_area,空氣,me
wifi,https://tcx.yuntech.edu.tw/index.php/newsclass/item/90-yuntech-802-1x,wifi,yunapp
w,https://www.cwa.gov.tw/V8/C/,鄉鎮預報 | 交通部中央氣象局,me
%E5%85%B1%E7%B7%A8,https://bridgerhung.notion.site/3243ae8860ed43f7908988dcd6567c29,"Notion – The all-in-one workspace for your notes, tasks, wikis, and databases.",help
cs,https://q.cscan.co,CamScanner,me
mer,https://mermaid.live/edit,Online FlowChart & Diagrams Editor - Mermaid Live Editor,me
co-authoring-zh,https://support.microsoft.com/zh-tw/office/%E6%96%87%E4%BB%B6%E5%85%B1%E5%90%8C%E4%BD%9C%E6%A5%AD%E5%8F%8A%E5%85%B1%E5%90%8C%E6%92%B0%E5%AF%AB-ee1509b4-1f6e-401e-b04a-782d26f564a4#:~:text=Create%20or%20open%20documents%20for%20co-authoring,文件共同作業及共同撰寫,help
co-authoring-en,https://support.microsoft.com/en-us/office/document-collaboration-and-co-authoring-ee1509b4-1f6e-401e-b04a-782d26f564a4#:~:text=Create%20or%20open%20documents%20for%20co%2Dauthoring,Document collaboration and co-authoring,help
care,https://care.yuntech.edu.tw,諮商,yunapp
tcx-go,https://webapp.yuntech.edu.tw/YunTechSSO-GoogleAccount/Account/Index,國立雲林科技大學單一入口服務網 YunTech SSO  登入,yunapp
rec,https://stream.new/,ScreenApp.IO | Online Screen Recorder,me
tcx-office365,https://tcx.yuntech.edu.tw/index.php/school-software/item/152-office-365,國立雲林科技大學-資訊中心 - 雲端 Office 365登入說明,yunapp
ovc,https://www.online-convert.com/,"Online converter - convert video, images, audio and documents for free",me
code,https://www.codecademy.com/learn,Codecademy,me
lc,https://lc.yuntech.edu.tw/,國立雲林科技大學-語言中心 - 首頁,處室
eclass,https://eclass.yuntech.edu.tw/yuntech/sso-login,國立雲林科技大學單一入口服務網 YunTech SSO  登入,yunapp
tcx,https://tcx.yuntech.edu.tw/index.php/2020-02-26-09-23-21,國立雲林科技大學-資訊中心 - 服務項目,處室
im,https://www.mis.yuntech.edu.tw/,資訊管理系所 – 雲林科技大學-資訊管理系所,處室
buslist,https://ags.yuntech.edu.tw/index.php/2020-03-05-08-14-25/2021-07-28-06-30-48/item/747-2022-07-20-02-40-10,國立雲林科技大學-總務處 - 交通查詢,bus|map|train
bus,https://www.taiwanbus.tw/,交通資訊 - 國立雲林科技大學YunTech,bus|map|train
spo,https://open.spotify.com,spotify,me
map,https://www-static.yuntech.edu.tw/images/mainmenu/about/map/2022/2022-N-02.jpg,校園地圖 - 國立雲林科技大學YunTech,map
aax,https://aax.yuntech.edu.tw/,國立雲林科技大學-教務處 - Home,處室
heart,https://scc.yuntech.edu.tw/pages/news/news.php,諮商輔導中心,處室
lib,https://www.libwebpac.yuntech.edu.tw/index,國立雲林科技大學圖書館,處室
mail,https://webmail.yuntech.edu.tw/cgi-bin/NYUST_SSO/yuntech_mailsso.pl,:::::: 歡迎使用雲林科技大學 Web Mail 系統 :::::::::::,yunapp
sso,https://webapp.yuntech.edu.tw,國立雲林科技大學單一入口服務網 YunTech SSO,yunapp
